source,product_name,rating,review_title,review_text,review_url,date
trustpilot,Notion,1,Very rigid refund policy despite limited usage and product complexity,"I purchased the Notion Business annual plan on January 14 for $288. After buying it, I spent time trying to integrate Notion into my workflow, but unfortunately I realized that the platform was not the right fit for my needs.

One of the biggest issues for me was how complex the system is for relatively simple use cases. Even basic workflow setups require a lot of manual configuration, and building structured processes takes significantly more time than expected.

In addition, some workflow and automation capabilities that I expected from a Business plan were either missing or required complicated workarounds. Because of this, I could not integrate Notion efficiently into my daily work.

When I contacted support, they explained their 30-day refund policy. I understand that policies exist, but when I requested support it had been less than two months since the purchase and my actual usage was quite limited.

They asked me to downgrade my workspace to the Free plan, which I did, but even after following their instructions they refused to offer any partial refund or credit for the unused months of the annual subscription.

I was not asking for a full refund anymore — only a reasonable prorated refund for the unused portion of the subscription.

It’s disappointing to see such a rigid approach, especially for small business users where $288 is a significant expense.

I hope Notion will reconsider situations like this in the future and provide more flexible solutions for customers who clearly did not fully use the service.",https://www.trustpilot.com/reviews/69aeb52813636144c7bc84ad,2026-03-09T13:55:20.000Z
trustpilot,Notion,1,They pivot projects and features…,"They pivot projects and features without finishing them. Notion mail sucks, notion ai sucks, now they roll out agents. yet still cant work off line. Migrating off as soon as possible. Truly a bad app in 2026",https://www.trustpilot.com/reviews/69a5b8cebd69a5016ecb89b9,2026-03-02T18:20:30.000Z
trustpilot,Notion,1,API changes,they changed the api integration so that it's unpossible now tu use it!,https://www.trustpilot.com/reviews/69a5aee475ed136c63436d2e,2026-03-02T17:38:12.000Z
trustpilot,Notion,2,Notion is really complicated and slow…,Notion is really complicated and slow nowadays. It lost the charm now.,https://www.trustpilot.com/reviews/699c06639e2b051ba3ec37a5,2026-02-23T09:48:51.000Z
trustpilot,Notion,1,the worst app,"the worst app
cant even load first of all and secondly it may look good but doesnt even improve your productivity.
0/5 stars if i could do it",https://www.trustpilot.com/reviews/69970ee90bb9cdeb7733e6cd,2026-02-19T15:23:53.000Z
trustpilot,Notion,1,worst software ever its always buggy…,worst software ever its always buggy almost every day dont use it its just a scam,https://www.trustpilot.com/reviews/699440298bd155ce7ca45650,2026-02-17T12:17:13.000Z
trustpilot,Notion,1,It pains my heart to write this review…Notion is not good anymore,"It pains my heart to write this review because I love Notion software. They have the absolutely WORST billing experience I've ever encountered. They can bill you for users you never added, or even if you did accidentally add them, they still didn't do anything, so its like clearly it's a whops, NOPE. They' take their money. I remember when Notion was customer-first. Now IDK if its because they have investors they need to pay. But stealing money from your best users to pay investors is literally CRAZY.",https://www.trustpilot.com/reviews/698e07bc5337419b0db1741e,2026-02-12T19:02:52.000Z
trustpilot,Notion,1,Started out as a very neat tool - beware scam pricing,"Started out as a very neat tool. However have a nasty habit of attempting to charge you piecemeal for lots of interlinking services. Was paying 50GBP a month for something I didn´t use, on deliberately opaque pricing.",https://www.trustpilot.com/reviews/698b516c3e322e83669e500b,2026-02-10T17:40:28.000Z
trustpilot,Notion,1,Refund refused for unused subscription,"I am leaving this review to share my experience with Notion regarding billing and refunds.

I was charged for a monthly Business subscription associated with a workspace called “Circle For Pets”. The subscription was not actively used, and no paid features were accessed during the billing period. I only became aware of the charges later when reviewing my bank statements.

As soon as I noticed the issue, I contacted Notion Support in good faith to explain the situation and request a refund. I provided all the requested information, and my case was escalated internally.

Despite acknowledging that the subscription was unused, Notion refused to issue any refund, stating that their policy only allows refunds if contacted within three days of invoice creation. No exception was considered, even though the service was not used at all and I contacted them immediately upon discovering the charges.

While I understand that companies have internal policies, I find it unreasonable and unfair to completely deny refunds in cases where no service was consumed and the customer acts promptly once aware of the billing.

This experience left me disappointed, particularly due to the lack of flexibility and consideration for exceptional circumstances. I believe potential users should be aware of how strict and inflexible Notion’s refund practices can be.",https://www.trustpilot.com/reviews/6982a386ba78d10e23a76870,2026-02-04T03:40:22.000Z
trustpilot,Notion,1,"Paying customer, same limits as free users","I'm a paying Plus plan subscriber and was told I've ""run out of free AI responses"" after asking just 2 questions. Turns out paying customers on Plus get the same 20 lifetime AI responses as free users.
This was not disclosed when I subscribed. The pricing page buries this limitation. To get actual AI access, you have to upgrade to Business at $20/month - double what I'm already paying.
I cancelled immediately. When I see the reviews here about billing issues, surprise charges, and unresponsive support, it's clear this is a pattern, not an accident.
They changed their pricing model in May 2025 to force users onto expensive plans. Previously you could add AI to any plan for $8/month. Now it's bundled only into Business tier, and existing Plus customers are left with a useless 20-response ""trial.""
Switched to other tools. Don't give them your money.",https://www.trustpilot.com/reviews/6974f3a966454247c02bd65e,2026-01-24T18:30:33.000Z
trustpilot,Notion,1,"great tool, bad business practices","Notion is a great productivity tool, but their billing practices are deeply questionable and completely lack accountability.

I upgraded to “Plus & AI” inside the Notion iPad app and was charged 20 CHF. Despite this, my workspace still showed the Free plan and I was locked out of the features I paid for. When I contacted support, I was told that because the purchase went through Apple, Notion “cannot see it” and that I would need to subscribe again.

In other words: I paid through their own app, yet they claim the payment is invisible to them — and the proposed solution is to pay again.

There was no warning at purchase time that Notion would not be able to track or reconcile in-app subscriptions, and no clear process to resolve the issue internally. This puts all the burden and risk on the customer.

It’s unacceptable to charge users without being able to associate the payment to their own product. Until this is fixed, I cannot recommend trusting Notion with any paid features.",https://www.trustpilot.com/reviews/69680a8c76c2f24d8680f2bb,2026-01-14T23:28:44.000Z
trustpilot,Notion,1,Way too expensive,"Great app/website for making lists, but why is it so expensive? I've stopped using it because i've reached my free limit, why would I pay 8.99 a month so I can make lists on my laptop. Silly",https://www.trustpilot.com/reviews/69662167269a56dd54a380f7,2026-01-13T12:41:43.000Z
trustpilot,Notion,1,Absolutely unbareably shit,"Absolutely terrible and shit
As a developer I used notion to try out new capabilities to ease procedures for certain aspects of a clients company.

The site is crap, its buggy, it is complicated, you can get lost for hours to realise its a complete waste of time and effort. My client was not impressed and it wasted a lot of time.

I was billed £163 as a result to use business for a month, I tried to cancel and was told that I was not entitled to a refund because I did not cancel beforehand even though I did not pay for the subscription or use it at all.

Customer service are ugly as well, for a company that does very well squabbling over £163 I honestly think that they as a company should fail and that no one should bother trying to get used to notions buggy and horrible interface that makes normal tasks confusing and terrible. Everything you want to do is better done in an excel spreadsheet or on an AI platform builder like Manus.im

Do not waste your time learning how to use notion, trust me, its shit.",https://www.trustpilot.com/reviews/69611b783d3383a0c5c19d64,2026-01-09T17:15:04.000Z
trustpilot,Notion,2,i loved notion before,"i loved notion before, but sadly it has changed... it's often buggy and slow now, which make managing tasks frustrating... i hope they improve soon",https://www.trustpilot.com/reviews/691bdfef84ae033b3cc4e3b8,2025-11-18T04:54:39.000Z
trustpilot,Notion,1,it feels like their servers up with…,it feels like their servers up with raspberry pi,https://www.trustpilot.com/reviews/69173265f93cfb2c74da38a9,2025-11-14T15:45:09.000Z
trustpilot,Notion,2,It can be really useful when it works…,"It can be really useful when it works properly, but the problem is its often slow or goes down, which makes it frustating to rely on.",https://www.trustpilot.com/reviews/6915f8637ebb40daf65fe059,2025-11-13T17:25:23.000Z
trustpilot,Notion,1,Love the tool but the billing practice…,Love the tool but the billing practice is a scam. I will look for a different company and product. This is a rip off.,https://www.trustpilot.com/reviews/6915c1917976fa813adba2e6,2025-11-13T13:31:29.000Z
trustpilot,Notion,1,Scammers they put you on a free trial…,"Scammers they put you on a free trial then ""invoice you"" and you cant cancel the suscription untill you pay the invoice. its such a scam ""must pay Invoice before you can edit plan... No way to cancel no way to remove card. I have to cancel my card now to avoid the 96 dollar charge every month that. Theres no way this billing department is regulated. these are scumbags,,,",https://www.trustpilot.com/reviews/69080752c6d71b97d83ed097,2025-11-03T03:37:22.000Z
trustpilot,Notion,1,I got stuck with a yearly plan I never wanted,"I have been using Notion for some time and I actually like that a lot
The problem started when I switched from monthly to yearly by mistake and then tried to go back to monthly
Instead of letting me change it they told me I have to pay the full yearly price first which is 227 even though I never wanted that plan
I reached out to support and they were polite but kept saying the same thing about paying first and then getting a refund later
That doesn’t make sense because I never asked for a yearly plan and I don’t want to pay for something I didn’t agree to
It feels unfair and confusing because it should be simple to fix billing mistakes
I just want to go back to my monthly plan and not be charged for a full year I never used
Hopefully Notion helps me with this soon because I really like using the app and want to keep it that way

If this issue is resolved I’ll gladly update this review",https://www.trustpilot.com/reviews/68fa19a8bd3948ba89e5600c,2025-10-23T14:03:52.000Z
